id,file,education,gender,siglaUf,siglaPartido,region,occupation,ethnicity,age_group
65498,1999.pkl,undergraduate,F,GO,PSDB,Centro-Oeste,other,,50-60
65904,1999.pkl,undergraduate,M,PE,PMDB,Nordeste,public servant,,50-60
72553,1999.pkl,high school,M,PI,PMDB,Nordeste,other,,0-30
73420,1999.pkl,undergraduate,M,RJ,PTB,Sudeste,other,,40-50
73421,1999.pkl,undergraduate,M,RJ,PSDB,Sudeste,judge/lawyer/prosecutor,,50-60
73422,1999.pkl,other,M,RJ,PFL,Sudeste,other,,50-60
73424,1999.pkl,other,M,RJ,PPB,Sudeste,other,BRANCA,60-70
73427,1999.pkl,other,M,SP,PSDB,Sudeste,other,,60-70
73428,1999.pkl,undergraduate,M,SP,PCdoB,Sudeste,other,,40-50
73430,1999.pkl,other,M,SP,PSDB,Sudeste,other,,50-60
73431,1999.pkl,undergraduate,M,SP,PSDB,Sudeste,engineer/architect,,50-60
73432,1999.pkl,undergraduate,M,SP,PSDB,Sudeste,broker/economist/banker,,40-50
73433,1999.pkl,other,M,SP,PT,Sudeste,other,BRANCA,40-50
73434,1999.pkl,undergraduate,M,SP,PPB,Sudeste,judge/lawyer/prosecutor,BRANCA,50-60
73435,1999.pkl,undergraduate,M,SP,PPB,Sudeste,judge/lawyer/prosecutor,,50-60
73441,1999.pkl,other,M,SP,PPB,Sudeste,other,BRANCA,40-50
73442,1999.pkl,other,M,SP,PFL,Sudeste,other,,50-60
73443,1999.pkl,undergraduate,M,SP,PPB,Sudeste,judge/lawyer/prosecutor,,40-50
73445,1999.pkl,other,M,SP,PPB,Sudeste,other,,60-70
73446,1999.pkl,other,M,SP,PTB,Sudeste,other,,50-60
73447,1999.pkl,undergraduate,M,SP,PMDB,Sudeste,judge/lawyer/prosecutor,BRANCA,40-50
73448,1999.pkl,undergraduate,M,SP,PT,Sudeste,dentist/medic,,40-50
73451,1999.pkl,other,M,SP,PSDC,Sudeste,other,,50-60
73452,1999.pkl,other,M,SP,PSDB,Sudeste,other,,80-90
73454,1999.pkl,other,M,MS,PT,Centro-Oeste,other,BRANCA,30-40
73455,1999.pkl,high school,M,MS,PFL,Centro-Oeste,salesman,,30-40
73456,1999.pkl,undergraduate,M,MS,PMDB,Centro-Oeste,dentist/medic,BRANCA,40-50
73457,1999.pkl,other,M,PR,PDT,Sul,other,,40-50
73458,1999.pkl,undergraduate,M,PR,PTB,Sul,other,BRANCA,30-40
73459,1999.pkl,undergraduate,M,PR,PT,Sul,dentist/medic,,40-50
73460,1999.pkl,undergraduate,M,PR,PMDB,Sul,judge/lawyer/prosecutor,BRANCA,30-40
73461,1999.pkl,high school,M,PR,PTB,Sul,broker/economist/banker,,30-40
73462,1999.pkl,other,M,PR,PTB,Sul,other,,40-50
73463,1999.pkl,other,M,PR,PMDB,Sul,other,BRANCA,40-50
73464,1999.pkl,elementary school,M,PR,PPB,Sul,other,BRANCA,40-50
73465,1999.pkl,undergraduate,M,PR,PFL,Sul,engineer/architect,BRANCA,40-50
73466,1999.pkl,undergraduate,M,PR,PTB,Sul,university professor,BRANCA,40-50
73467,1999.pkl,other,M,PR,PFL,Sul,other,,60-70
73468,1999.pkl,other,M,SC,PFL,Sul,other,,70-80
73469,1999.pkl,undergraduate,M,SC,PT,Sul,other,BRANCA,40-50
73470,1999.pkl,other,M,SC,PPB,Sul,other,,40-50
73471,1999.pkl,undergraduate,M,SC,PDT,Sul,dentist/medic,,40-50
73472,1999.pkl,high school,M,SC,PFL,Sul,other,,40-50
73473,1999.pkl,undergraduate,M,SC,PPB,Sul,engineer/architect,BRANCA,40-50
73474,1999.pkl,no education,F,SC,PT,Sul,other,BRANCA,40-50
73475,1999.pkl,undergraduate,M,SC,PMDB,Sul,judge/lawyer/prosecutor,,50-60
73476,1999.pkl,undergraduate,M,SC,PSDB,Sul,dentist/medic,,40-50
73477,1999.pkl,other,M,RS,PDT,Sul,other,,70-80
73478,1999.pkl,undergraduate,M,RS,PSB,Sul,judge/lawyer/prosecutor,,30-40
73479,1999.pkl,undergraduate,M,RS,PTB,Sul,other,,30-40
73480,1999.pkl,undergraduate,M,RS,PMDB,Sul,university professor,,40-50
73481,1999.pkl,undergraduate,M,RS,PT,Sul,engineer/architect,BRANCA,40-50
73482,1999.pkl,undergraduate,M,RS,PT,Sul,other,BRANCA,30-40
73483,1999.pkl,undergraduate,M,RS,PPB,Sul,veterinarian/agronomist,BRANCA,40-50
73484,1999.pkl,undergraduate,M,RS,PT,Sul,other,,30-40
73485,1999.pkl,no education,M,RS,PTB,Sul,other,,30-40
73486,1999.pkl,undergraduate,M,RS,PDT,Sul,other,BRANCA,30-40
73487,1999.pkl,undergraduate,M,RS,PHS,Sul,other,,40-50
73488,1999.pkl,other,M,RS,PMDB,Sul,other,,60-70
73489,1999.pkl,other,M,RS,PMDB,Sul,other,,50-60
73490,1999.pkl,undergraduate,M,MT,PSDB,Centro-Oeste,other,,40-50
73491,1999.pkl,undergraduate,M,SC,PFL,Sul,other,,40-50
73492,1999.pkl,other,M,RJ,PT,Sudeste,other,,50-60
73507,1999.pkl,high school,F,ES,PSDB,Sudeste,other,,40-50
73531,1999.pkl,undergraduate,M,SP,PT,Sudeste,other,BRANCA,50-60
73532,1999.pkl,elementary school,M,SP,PT,Sudeste,blue collar,,50-60
73534,1999.pkl,other,M,SP,PT,Sudeste,other,,30-40
73535,1999.pkl,undergraduate,M,SP,PPB,Sudeste,engineer/architect,BRANCA,40-50
73536,1999.pkl,undergraduate,M,SP,PSDB,Sudeste,broker/economist/banker,BRANCA,50-60
73538,1999.pkl,other,M,SP,PTB,Sudeste,other,,60-70
73539,1999.pkl,high school,M,SP,PTN,Sudeste,other,,50-60
73540,1999.pkl,high school,M,SP,PT,Sudeste,other,,50-60
73541,1999.pkl,undergraduate,M,SP,PT,Sudeste,other,,50-60
73545,1999.pkl,high school,M,SP,PT,Sudeste,other,,40-50
73547,1999.pkl,other,M,SP,PFL,Sudeste,other,,60-70
73548,1999.pkl,other,M,SP,PMDB,Sudeste,other,,40-50
73552,1999.pkl,other,M,SP,PMDB,Sudeste,other,,50-60
73553,1999.pkl,other,M,SP,PTB,Sudeste,other,BRANCA,50-60
73554,1999.pkl,other,M,SP,PSL,Sudeste,other,,60-70
73555,1999.pkl,other,M,SP,PFL,Sudeste,other,BRANCA,30-40
73557,1999.pkl,other,M,SP,PPB,Sudeste,other,,50-60
73558,1999.pkl,undergraduate,M,SP,PFL,Sudeste,other,,0-30
73559,1999.pkl,high school,M,SP,PSDB,Sudeste,other,BRANCA,40-50
73560,1999.pkl,other,M,SP,PSDB,Sudeste,other,BRANCA,50-60
73561,1999.pkl,other,F,SP,PT,Sudeste,other,BRANCA,50-60
73564,1999.pkl,high school,M,SP,PPB,Sudeste,other,,40-50
73565,1999.pkl,undergraduate,M,SP,PL*,Sudeste,businessperson/entrepreneur,,40-50
73567,1999.pkl,other,M,SP,PMDB,Sudeste,other,,50-60
73568,1999.pkl,undergraduate,M,RJ,PDT,Sudeste,broker/economist/banker,PARDA,40-50
73569,1999.pkl,high school,M,DF,PRONA,Distrito Federal,other,,30-40
73570,1999.pkl,other,M,PR,PFL,Sul,other,,50-60
73571,1999.pkl,other,M,MT,PTB,Centro-Oeste,other,,40-50
73572,1999.pkl,undergraduate,M,MG,PT,Sudeste,other,,30-40
73573,1999.pkl,high school,M,BA,PFL,Nordeste,other,,30-40
73574,1999.pkl,elementary school,M,BA,PMDB,Nordeste,media worker,,40-50
73575,1999.pkl,other,M,PE,PFL,Nordeste,other,,50-60
73576,1999.pkl,high school,M,RJ,PFL,Sudeste,other,,40-50
73577,1999.pkl,undergraduate,M,RS,PT,Sul,social scientist/historian,,40-50
73578,1999.pkl,other,M,RJ,PSB,Sudeste,other,,50-60
73579,1999.pkl,undergraduate,M,DF,PMDB,Distrito Federal,other,PARDA,40-50
73580,1999.pkl,undergraduate,M,DF,PMDB,Distrito Federal,publicist,,30-40
