id,file,education,gender,siglaUf,siglaPartido,region,occupation,ethnicity,age_group
65498,51.pkl,undergraduate,F,GO,PSDB,Centro-Oeste,other,,50-60
65904,51.pkl,undergraduate,M,PE,PMDB,Nordeste,public servant,,50-60
72553,51.pkl,high school,M,PI,PMDB,Nordeste,other,,0-30
73420,51.pkl,undergraduate,M,RJ,PTB,Sudeste,other,,40-50
73421,51.pkl,undergraduate,M,RJ,PSDB,Sudeste,judge/lawyer/prosecutor,,50-60
73422,51.pkl,other,M,RJ,PFL,Sudeste,other,,50-60
73424,51.pkl,other,M,RJ,PPB,Sudeste,other,BRANCA,60-70
73427,51.pkl,other,M,SP,PSDB,Sudeste,other,,60-70
73428,51.pkl,undergraduate,M,SP,PCdoB,Sudeste,other,,40-50
73430,51.pkl,other,M,SP,PSDB,Sudeste,other,,50-60
73431,51.pkl,undergraduate,M,SP,PSDB,Sudeste,engineer/architect,,50-60
73432,51.pkl,undergraduate,M,SP,PSDB,Sudeste,broker/economist/banker,,40-50
73433,51.pkl,other,M,SP,PT,Sudeste,other,BRANCA,40-50
73434,51.pkl,undergraduate,M,SP,PPB,Sudeste,judge/lawyer/prosecutor,BRANCA,50-60
73435,51.pkl,undergraduate,M,SP,PPB,Sudeste,judge/lawyer/prosecutor,,50-60
73441,51.pkl,other,M,SP,PPB,Sudeste,other,BRANCA,40-50
73442,51.pkl,other,M,SP,PFL,Sudeste,other,,50-60
73443,51.pkl,undergraduate,M,SP,PPB,Sudeste,judge/lawyer/prosecutor,,40-50
73445,51.pkl,other,M,SP,PPB,Sudeste,other,,60-70
73446,51.pkl,other,M,SP,PTB,Sudeste,other,,50-60
73447,51.pkl,undergraduate,M,SP,PMDB,Sudeste,judge/lawyer/prosecutor,BRANCA,40-50
73448,51.pkl,undergraduate,M,SP,PT,Sudeste,dentist/medic,,40-50
73451,51.pkl,other,M,SP,others,Sudeste,other,,50-60
73452,51.pkl,other,M,SP,PSDB,Sudeste,other,,80-90
73454,51.pkl,other,M,MS,PT,Centro-Oeste,other,BRANCA,30-40
73455,51.pkl,high school,M,MS,PFL,Centro-Oeste,others,,30-40
73456,51.pkl,undergraduate,M,MS,PMDB,Centro-Oeste,dentist/medic,BRANCA,40-50
73457,51.pkl,other,M,PR,PDT,Sul,other,,40-50
73458,51.pkl,undergraduate,M,PR,PTB,Sul,other,BRANCA,30-40
73459,51.pkl,undergraduate,M,PR,PT,Sul,dentist/medic,,40-50
73460,51.pkl,undergraduate,M,PR,PMDB,Sul,judge/lawyer/prosecutor,BRANCA,30-40
73461,51.pkl,high school,M,PR,PTB,Sul,broker/economist/banker,,30-40
73462,51.pkl,other,M,PR,PTB,Sul,other,,40-50
73463,51.pkl,other,M,PR,PMDB,Sul,other,BRANCA,40-50
73464,51.pkl,elementary school,M,PR,PPB,Sul,other,BRANCA,40-50
73465,51.pkl,undergraduate,M,PR,PFL,Sul,engineer/architect,BRANCA,40-50
73466,51.pkl,undergraduate,M,PR,PTB,Sul,university professor,BRANCA,40-50
73467,51.pkl,other,M,PR,PFL,Sul,other,,60-70
73468,51.pkl,other,M,SC,PFL,Sul,other,,70-80
73469,51.pkl,undergraduate,M,SC,PT,Sul,other,BRANCA,40-50
73470,51.pkl,other,M,SC,PPB,Sul,other,,40-50
73471,51.pkl,undergraduate,M,SC,PDT,Sul,dentist/medic,,40-50
73472,51.pkl,high school,M,SC,PFL,Sul,other,,40-50
73473,51.pkl,undergraduate,M,SC,PPB,Sul,engineer/architect,BRANCA,40-50
73474,51.pkl,no education,F,SC,PT,Sul,other,BRANCA,40-50
73475,51.pkl,undergraduate,M,SC,PMDB,Sul,judge/lawyer/prosecutor,,50-60
73476,51.pkl,undergraduate,M,SC,PSDB,Sul,dentist/medic,,40-50
73477,51.pkl,other,M,RS,PDT,Sul,other,,70-80
73478,51.pkl,undergraduate,M,RS,PSB,Sul,judge/lawyer/prosecutor,,30-40
73479,51.pkl,undergraduate,M,RS,PTB,Sul,other,,30-40
73480,51.pkl,undergraduate,M,RS,PMDB,Sul,university professor,,40-50
73481,51.pkl,undergraduate,M,RS,PT,Sul,engineer/architect,BRANCA,40-50
73482,51.pkl,undergraduate,M,RS,PT,Sul,other,BRANCA,30-40
73483,51.pkl,undergraduate,M,RS,PPB,Sul,others,BRANCA,40-50
73484,51.pkl,undergraduate,M,RS,PT,Sul,other,,30-40
73485,51.pkl,no education,M,RS,PTB,Sul,other,,30-40
73486,51.pkl,undergraduate,M,RS,PDT,Sul,other,BRANCA,30-40
73487,51.pkl,undergraduate,M,RS,others,Sul,other,,40-50
73488,51.pkl,other,M,RS,PMDB,Sul,other,,60-70
73489,51.pkl,other,M,RS,PMDB,Sul,other,,50-60
73490,51.pkl,undergraduate,M,MT,PSDB,Centro-Oeste,other,,40-50
73491,51.pkl,undergraduate,M,SC,PFL,Sul,other,,40-50
73492,51.pkl,other,M,RJ,PT,Sudeste,other,,50-60
73507,51.pkl,high school,F,ES,PSDB,Sudeste,other,,40-50
73531,51.pkl,undergraduate,M,SP,PT,Sudeste,other,BRANCA,50-60
73532,51.pkl,elementary school,M,SP,PT,Sudeste,others,,50-60
73534,51.pkl,other,M,SP,PT,Sudeste,other,,30-40
73535,51.pkl,undergraduate,M,SP,PPB,Sudeste,engineer/architect,BRANCA,40-50
73536,51.pkl,undergraduate,M,SP,PSDB,Sudeste,broker/economist/banker,BRANCA,50-60
73538,51.pkl,other,M,SP,PTB,Sudeste,other,,60-70
73539,51.pkl,high school,M,SP,others,Sudeste,other,,50-60
73540,51.pkl,high school,M,SP,PT,Sudeste,other,,50-60
73541,51.pkl,undergraduate,M,SP,PT,Sudeste,other,,50-60
73545,51.pkl,high school,M,SP,PT,Sudeste,other,,40-50
73547,51.pkl,other,M,SP,PFL,Sudeste,other,,60-70
73548,51.pkl,other,M,SP,PMDB,Sudeste,other,,40-50
73552,51.pkl,other,M,SP,PMDB,Sudeste,other,,50-60
73553,51.pkl,other,M,SP,PTB,Sudeste,other,BRANCA,50-60
73554,51.pkl,other,M,SP,others,Sudeste,other,,60-70
73555,51.pkl,other,M,SP,PFL,Sudeste,other,BRANCA,30-40
73557,51.pkl,other,M,SP,PPB,Sudeste,other,,50-60
73558,51.pkl,undergraduate,M,SP,PFL,Sudeste,other,,0-30
73559,51.pkl,high school,M,SP,PSDB,Sudeste,other,BRANCA,40-50
73560,51.pkl,other,M,SP,PSDB,Sudeste,other,BRANCA,50-60
73561,51.pkl,other,F,SP,PT,Sudeste,other,BRANCA,50-60
73564,51.pkl,high school,M,SP,PPB,Sudeste,other,,40-50
73565,51.pkl,undergraduate,M,SP,others,Sudeste,businessperson/entrepreneur,,40-50
73567,51.pkl,other,M,SP,PMDB,Sudeste,other,,50-60
73568,51.pkl,undergraduate,M,RJ,PDT,Sudeste,broker/economist/banker,PARDA,40-50
73569,51.pkl,high school,M,DF,others,Distrito Federal,other,,30-40
73570,51.pkl,other,M,PR,PFL,Sul,other,,50-60
73571,51.pkl,other,M,MT,PTB,Centro-Oeste,other,,40-50
73572,51.pkl,undergraduate,M,MG,PT,Sudeste,other,,30-40
73573,51.pkl,high school,M,BA,PFL,Nordeste,other,,30-40
73574,51.pkl,elementary school,M,BA,PMDB,Nordeste,others,,40-50
73575,51.pkl,other,M,PE,PFL,Nordeste,other,,50-60
73576,51.pkl,high school,M,RJ,PFL,Sudeste,other,,40-50
73577,51.pkl,undergraduate,M,RS,PT,Sul,others,,40-50
73578,51.pkl,other,M,RJ,PSB,Sudeste,other,,50-60
73579,51.pkl,undergraduate,M,DF,PMDB,Distrito Federal,other,PARDA,40-50
73580,51.pkl,undergraduate,M,DF,PMDB,Distrito Federal,others,,30-40
73581,51.pkl,undergraduate,M,ES,PSDB,Sudeste,judge/lawyer/prosecutor,,50-60
73582,51.pkl,other,M,AL,PSDB,Nordeste,other,,50-60
73583,51.pkl,other,M,RO,PPB,Norte,other,,40-50
73584,51.pkl,undergraduate,M,SP,PSDB,Sudeste,university professor,BRANCA,50-60
73585,51.pkl,other,M,SP,others,Sudeste,other,,40-50
73586,51.pkl,undergraduate,M,MG,PMDB,Sudeste,judge/lawyer/prosecutor,BRANCA,30-40
73587,51.pkl,high school,M,AC,others,Norte,others,,30-40
73588,51.pkl,other,M,CE,PMDB,Nordeste,other,BRANCA,60-70
73589,51.pkl,undergraduate,M,CE,PMDB,Nordeste,broker/economist/banker,,30-40
73590,51.pkl,undergraduate,M,AL,PT,Nordeste,other,,40-50
73591,51.pkl,high school,M,PR,PSDB,Sul,other,BRANCA,40-50
73592,51.pkl,undergraduate,F,TO,PFL,Norte,others,,30-40
73593,51.pkl,high school,M,TO,PMDB,Norte,public servant,,30-40
73594,51.pkl,undergraduate,F,TO,PFL,Norte,university professor,,40-50
73595,51.pkl,undergraduate,M,SP,PFL,Sudeste,other,,40-50
73596,51.pkl,undergraduate,M,MG,PSDB,Sudeste,businessperson/entrepreneur,,40-50
73597,51.pkl,other,M,MA,PDT,Nordeste,other,,40-50
73598,51.pkl,other,M,MG,others,Sudeste,other,,60-70
73599,51.pkl,high school,M,RS,PTB,Sul,others,,40-50
73600,51.pkl,other,M,MT,PMDB,Centro-Oeste,other,,40-50
73601,51.pkl,high school,M,PR,PDT,Sul,other,,60-70
73602,51.pkl,other,M,MS,PT,Centro-Oeste,other,,40-50
73603,51.pkl,undergraduate,M,SP,PT,Sudeste,other,,30-40
73604,51.pkl,undergraduate,M,SP,PT,Sudeste,other,BRANCA,50-60
73643,51.pkl,undergraduate,M,SP,PPB,Sudeste,other,,40-50
73645,51.pkl,undergraduate,F,SP,PSDB,Sudeste,judge/lawyer/prosecutor,,50-60
73646,51.pkl,other,M,MT,PSDB,Centro-Oeste,other,,40-50
73651,51.pkl,elementary school,M,MT,PFL,Centro-Oeste,other,,40-50
73652,51.pkl,high school,F,MT,PMDB,Centro-Oeste,other,,40-50
73653,51.pkl,undergraduate,M,MT,others,Centro-Oeste,dentist/medic,,40-50
73654,51.pkl,undergraduate,M,DF,PCdoB,Distrito Federal,dentist/medic,BRANCA,30-40
73658,51.pkl,other,M,DF,PPB,Distrito Federal,other,,60-70
73659,51.pkl,other,F,DF,PT,Distrito Federal,other,,50-60
73660,51.pkl,other,M,DF,PFL,Distrito Federal,other,,60-70
73661,51.pkl,other,M,DF,PPB,Distrito Federal,other,,50-60
73662,51.pkl,other,M,GO,PCdoB,Centro-Oeste,other,,50-60
73663,51.pkl,high school,M,GO,PMDB,Centro-Oeste,other,,30-40
73666,51.pkl,other,M,GO,PSDB,Centro-Oeste,other,BRANCA,40-50
73667,51.pkl,undergraduate,F,GO,PSDB,Centro-Oeste,other,,60-70
73672,51.pkl,undergraduate,M,GO,others,Centro-Oeste,dentist/medic,,40-50
73673,51.pkl,other,M,GO,PT,Centro-Oeste,other,,50-60
73674,51.pkl,other,M,GO,PPB,Centro-Oeste,other,PARDA,50-60
73677,51.pkl,other,M,GO,PFL,Centro-Oeste,other,,40-50
73678,51.pkl,high school,M,GO,PMDB,Centro-Oeste,other,,30-40
73681,51.pkl,other,M,BA,PFL,Nordeste,other,,50-60
73682,51.pkl,undergraduate,M,SP,PMDB,Sudeste,public servant,BRANCA,40-50
73683,51.pkl,high school,M,RS,PT,Sul,others,,30-40
73684,51.pkl,undergraduate,M,RS,PT,Sul,broker/economist/banker,,30-40
73685,51.pkl,other,M,AL,others,Nordeste,other,,60-70
73686,51.pkl,undergraduate,F,RS,PT,Sul,other,,30-40
73687,51.pkl,undergraduate,F,SE,PCdoB,Nordeste,other,,30-40
73688,51.pkl,high school,M,SP,PSB,Sudeste,other,,60-70
73689,51.pkl,other,M,RS,PT,Sul,other,,50-60
73690,51.pkl,undergraduate,M,RN,PDT,Nordeste,dentist/medic,,40-50
73691,51.pkl,other,M,PA,PSDB,Norte,other,,50-60
