id,file,education,gender,siglaUf,siglaPartido,region,occupation,ethnicity,age_group,income_level,satisfaction_score
1,file1.txt,Master,Male,RJ,MDB,Midwest,Engineer,Asian,26-35,2,4.662286084025107
2,file2.txt,Master,Female,RS,MDB,South,Teacher,Asian,26-35,1,7.872744865874587
3,file3.txt,PhD,Male,BA,PT,South,Doctor,White,18-25,5,0.17679442796466938
4,file4.txt,High School,Other,BA,PT,Northeast,Student,Indigenous,36-45,5,3.7339196545664888
5,file5.txt,Master,Female,BA,PT,Southeast,Teacher,White,26-35,1,1.0491119722810327
6,file6.txt,Bachelor,Male,SP,NOVO,South,Artist,Indigenous,56+,4,2.1503993591910775
7,file7.txt,PhD,Other,BA,PSOL,South,Engineer,White,36-45,3,8.934309586983757
8,file8.txt,High School,Other,MG,MDB,Southeast,Doctor,Mixed,46-55,2,7.078282612432848
9,file9.txt,Bachelor,Female,SP,PT,Midwest,Artist,White,36-45,4,9.372802053134937
10,file10.txt,Bachelor,Male,BA,PSOL,Northeast,Teacher,Asian,46-55,5,6.906164514943123
11,file11.txt,Bachelor,Other,RJ,PSDB,Midwest,Teacher,Indigenous,36-45,4,0.49976177369029373
12,file12.txt,Master,Female,BA,PSOL,Midwest,Student,White,18-25,3,3.3773647760533034
13,file13.txt,Bachelor,Female,BA,PSOL,Northeast,Student,Indigenous,18-25,4,8.763198430373668
14,file14.txt,Master,Male,BA,PSOL,North,Engineer,Indigenous,56+,3,3.4938478248036953
15,file15.txt,Master,Male,BA,MDB,Southeast,Teacher,Asian,46-55,1,6.439341249639909
16,file16.txt,Bachelor,Other,SP,PT,Northeast,Teacher,Mixed,18-25,1,6.387041468239993
17,file17.txt,High School,Male,MG,MDB,Midwest,Teacher,Mixed,18-25,2,8.626648562674148
18,file18.txt,High School,Other,MG,PSOL,Northeast,Artist,Mixed,56+,2,4.974173274947802
19,file19.txt,Master,Male,RS,PSOL,North,Student,Indigenous,36-45,3,1.1177635996521151
20,file20.txt,Bachelor,Female,BA,PSDB,South,Artist,Mixed,26-35,3,3.578301911126933
